Date : 2024-07-04 21:15:37
Directory : c:\Users\Илья\Desktop\startup
Total : 93 files,  38987 codes, 107 comments, 555 blanks, all 39649 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Илья\Desktop\startup\src\Components\ErrorMessage\Error.jsx                                              | JavaScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\Илья\Desktop\startup\src\Components\ErrorMessage\Error.module.css                                       | CSS                |         18 |          0 |          2 |         20 |
| c:\Users\Илья\Desktop\startup\src\Components\Footer\Footer.jsx                                                   | JavaScript JSX     |         72 |          0 |          5 |         77 |
| c:\Users\Илья\Desktop\startup\src\Components\Footer\Footer.module.css                                            | CSS                |        155 |          0 |         21 |        176 |
| c:\Users\Илья\Desktop\startup\src\Components\GalleryList\GalleryList.jsx                                         | JavaScript JSX     |         19 |          0 |          5 |         24 |
| c:\Users\Илья\Desktop\startup\src\Components\GalleryList\GalleryList.module.css                                  | CSS                |         37 |          0 |          4 |         41 |
| c:\Users\Илья\Desktop\startup\src\Components\HeaderMenu\HeaderMenu.jsx                                           | JavaScript JSX     |         34 |          0 |          4 |         38 |
| c:\Users\Илья\Desktop\startup\src\Components\HeaderMenu\HeaderMenu.module.css                                    | CSS                |         26 |          0 |          5 |         31 |
| c:\Users\Илья\Desktop\startup\src\Components\Header\Header.jsx                                                   | JavaScript JSX     |         87 |          0 |         10 |         97 |
| c:\Users\Илья\Desktop\startup\src\Components\Header\Header.module.css                                            | CSS                |         44 |          0 |          5 |         49 |
| c:\Users\Илья\Desktop\startup\src\Components\Input\Input.jsx                                                     | JavaScript JSX     |        118 |          0 |         14 |        132 |
| c:\Users\Илья\Desktop\startup\src\Components\Input\Input.module.css                                              | CSS                |        151 |          0 |         11 |        162 |
| c:\Users\Илья\Desktop\startup\src\Components\LeftSideHeader\LeftSideHeader.jsx                                   | JavaScript JSX     |         17 |          0 |          1 |         18 |
| c:\Users\Илья\Desktop\startup\src\Components\LeftSideHeader\LeftSideHeader.module.css                            | CSS                |         16 |          0 |          5 |         21 |
| c:\Users\Илья\Desktop\startup\src\Components\Menu\Menu.jsx                                                       | JavaScript JSX     |        104 |          0 |          8 |        112 |
| c:\Users\Илья\Desktop\startup\src\Components\Menu\Menu.module.css                                                | CSS                |         93 |          0 |         11 |        104 |
| c:\Users\Илья\Desktop\startup\src\Components\Newsletter\Newsletter.jsx                                           | JavaScript JSX     |         25 |          0 |          8 |         33 |
| c:\Users\Илья\Desktop\startup\src\Components\Newsletter\Newsletter.module.css                                    | CSS                |         46 |          1 |          5 |         52 |
| c:\Users\Илья\Desktop\startup\src\Components\QuestionsContent\QuestionsContent.module.css                        | CSS                |         36 |          1 |          6 |         43 |
| c:\Users\Илья\Desktop\startup\src\Components\QuestionsContent\QuestionsContetn.jsx                               | JavaScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\Илья\Desktop\startup\src\Components\RegistrationAdd\RegistrationAdd.jsx                                 | JavaScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\Илья\Desktop\startup\src\Components\RegistrationAdd\RegistrationAdd.module.css                          | CSS                |         56 |          0 |          2 |         58 |
| c:\Users\Илья\Desktop\startup\src\Components\Registration\LoginComponent\LoginComponent.jsx                      | JavaScript JSX     |        111 |          0 |         13 |        124 |
| c:\Users\Илья\Desktop\startup\src\Components\Registration\LoginComponent\LoginComponent.module.css               | CSS                |        118 |          0 |          7 |        125 |
| c:\Users\Илья\Desktop\startup\src\Components\Registration\Registration.jsx                                       | JavaScript JSX     |         51 |          0 |          5 |         56 |
| c:\Users\Илья\Desktop\startup\src\Components\Registration\Registration.module.css                                | CSS                |         74 |          0 |          8 |         82 |
| c:\Users\Илья\Desktop\startup\src\Components\Registration\RegistrationComponent\RegistrationComponent.jsx        | JavaScript JSX     |        186 |          0 |         15 |        201 |
| c:\Users\Илья\Desktop\startup\src\Components\Registration\RegistrationComponent\RegistrationComponent.module.css | CSS                |         52 |          0 |          7 |         59 |
| c:\Users\Илья\Desktop\startup\src\Components\RightSideHeader\RightSideHeader.jsx                                 | JavaScript JSX     |         97 |          0 |         10 |        107 |
| c:\Users\Илья\Desktop\startup\src\Components\RightSideHeader\RightSideHeader.module.css                          | CSS                |        160 |          0 |         13 |        173 |
| c:\Users\Илья\Desktop\startup\src\Components\Sections\AboutSection\AboutSection.jsx                              | JavaScript JSX     |         58 |          0 |          3 |         61 |
| c:\Users\Илья\Desktop\startup\src\Components\Sections\AboutSection\AboutSection.module.css                       | CSS                |        105 |          0 |         13 |        118 |
| c:\Users\Илья\Desktop\startup\src\Components\Sections\GallerySection\Gallery.jsx                                 | JavaScript JSX     |         22 |          0 |          5 |         27 |
| c:\Users\Илья\Desktop\startup\src\Components\Sections\GallerySection\Gallery.module.css                          | CSS                |         29 |          0 |          1 |         30 |
| c:\Users\Илья\Desktop\startup\src\Components\SideHeader\SideHeader.jsx                                           | JavaScript JSX     |         55 |          0 |          7 |         62 |
| c:\Users\Илья\Desktop\startup\src\Components\SideHeader\SideHeader.module.css                                    | CSS                |         79 |          0 |          8 |         87 |
| c:\Users\Илья\Desktop\startup\src\Components\Slider\Slider.jsx                                                   | JavaScript JSX     |        106 |          0 |         10 |        116 |
| c:\Users\Илья\Desktop\startup\src\Components\Slider\Slider.module.css                                            | CSS                |         62 |          7 |          7 |         76 |
| c:\Users\Илья\Desktop\startup\src\Components\Wrappers\PaddingWrapper.jsx                                         | JavaScript JSX     |         63 |          0 |         10 |         73 |
| c:\Users\Илья\Desktop\startup\src\Components\Wrappers\PaddingWrapper.module.css                                  | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Илья\Desktop\startup\src\Cookies\CookiesWindow.jsx                                                      | JavaScript JSX     |        112 |          0 |         13 |        125 |
| c:\Users\Илья\Desktop\startup\src\Cookies\CookiesWindow.module.css                                               | CSS                |        174 |          1 |         14 |        189 |
| c:\Users\Илья\Desktop\startup\src\Layout\Layout.jsx                                                              | JavaScript JSX     |         35 |          0 |          6 |         41 |
| c:\Users\Илья\Desktop\startup\src\Pages\MainPage\MainPage.jsx                                                    | JavaScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\Илья\Desktop\startup\src\Pages\MainPage\MainPage.module.css                                             | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Илья\Desktop\startup\src\Pages\QandAPage\Questions.module.css                                           | CSS                |         35 |          1 |          4 |         40 |
| c:\Users\Илья\Desktop\startup\src\Pages\QandAPage\Qustions.jsx                                                   | JavaScript JSX     |        280 |          0 |          4 |        284 |
| c:\Users\Илья\Desktop\startup\src\Pages\Wizija\Wizja.jsx                                                         | JavaScript JSX     |        104 |          0 |          4 |        108 |
| c:\Users\Илья\Desktop\startup\src\Pages\Wizija\Wizja.module.css                                                  | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Илья\Desktop\startup\src\Pages\Wizija\WizjaContent\WizjaContent.jsx                                     | JavaScript JSX     |         32 |          0 |          3 |         35 |
| c:\Users\Илья\Desktop\startup\src\Pages\Wizija\WizjaContent\WizjaContent.module.css                              | CSS                |         90 |          1 |         16 |        107 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Element\Element.jsx                                  | JavaScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Element\Element.module.css                           | CSS                |         41 |          0 |          8 |         49 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\FinalElement\FinalElement.jsx                        | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\FinalElement\FinalElement.module.css                 | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Header\Balance\Balance.jsx                           | JavaScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Header\Header.jsx                                    | JavaScript JSX     |         33 |          0 |          5 |         38 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\Header\Header.module.css                             | CSS                |         54 |          2 |          7 |         63 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\ProgressLine\ProgressLine.jsx                        | JavaScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Components\ProgressLine\ProgressLine.module.css                 | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Content\WebContent.jsx                                          | JavaScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Content\WebContent.module.css                                   | CSS                |          3 |          1 |          1 |          5 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\RenderingZone\RenderingZone.jsx                                 | JavaScript JSX     |         95 |          7 |         14 |        116 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\RenderingZone\RenderingZone.module.css                          | CSS                |         11 |          0 |          1 |         12 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\BudgetStyleStep\BudgetStyleStep.jsx                       | JavaScript JSX     |         52 |          1 |          8 |         61 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\FinalProjectStep\FinalProjectStep.jsx                     | JavaScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\RoomStep\RoomStep.jsx                                     | JavaScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\Steps.module.css                                          | CSS                |         99 |          0 |          9 |        108 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\Steps\UploadPhotoStep\UploadPhotoStep.jsx                       | JavaScript JSX     |         52 |          0 |          5 |         57 |
| c:\Users\Илья\Desktop\startup\src\WebApplication\WebApp.jsx                                                      | JavaScript JSX     |         29 |          0 |          5 |         34 |
| c:\Users\Илья\Desktop\startup\src\assets\react.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Илья\Desktop\startup\src\main.jsx                                                                       | JavaScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Илья\Desktop\startup\tsconfig.json                                                                      | JSON with Comments |         20 |          0 |          1 |         21 |
| c:\Users\Илья\Desktop\startup\vite.config.js                                                                     | JavaScript         |         13 |          1 |          2 |         16 |
| Total                                                                                                            |                    |     38,987 |        107 |        555 |     39,649 |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
